Series,Contract No.,BuySell,Contract,Price,Premium Amount,Brokerage Fee,VAT,WH,Charge Amount   Date  
S50H19,BH-00524,B,2,1078.50,0.00,34.20,2.39,0.00,36.59
S50H19,BH-00525,B,10,1078.50,0.00,171.00,11.97,0.00,182.97
S50H19,BH-00526,B,1,1078.50,0.00,17.10,1.20,0.00,18.30
S50H19,BH-00527,B,5,1078.50,0.00,85.50,5.99,0.00,91.49
S50H19,BH-00528,B,4,1079.30,0.00,68.40,4.79,0.00,73.19
S50H19,BH-00529,B,11,1079.30,0.00,188.10,13.15,0.00,201.25
S50H19C1075,SH-00530,S,1,16.50,3300.00,35.10,2.46,0.00,37.56
S50H19C1075,SH-00531,S,1,16.50,3300.00,35.10,2.46,0.00,37.56
S50H19C1075,SH-00532,S,1,16.50,3300.00,35.10,2.46,0.00,37.56
S50H19P1075,BH-00533,B,5,9.00,-9000.00,175.50,12.29,0.00,187.79  08032019
S50H19,BH-00741,B,3,1078.90,0.00,51.30,3.59,0.00,54.89
S50H19,BH-00742,B,2,1078.90,0.00,34.20,2.39,0.00,36.59
S50H19,SH-00743,S,5,1084.50,0.00,85.50,5.99,0.00,91.49
S50H19,BU-00744,B,10,1074.00,0.00,171.00,11.97,0.00,182.97
S50H19P1075,SH-00745,S,2,12.50,5000.00,70.20,4.91,0.00,75.11
S50H19P1075,SH-00746,S,3,12.50,7500.00,105.30,7.38,0.00,112.68  11032019
S50H19,SH-00635,S,4,1079.30,0.00,68.40,4.79,0.00,73.19
S50H19,SH-00636,S,1,1079.30,0.00,17.10,1.20,0.00,18.30   12032019
S50H19,SH-00503,S,5,1075.00,0.00,85.50,5.99,0.00,91.49
S50H19,SH-00504,S,1,1078.00,0.00,17.10,1.20,0.00,18.30
S50H19,SH-00505,S,1,1078.00,0.00,17.10,1.20,0.00,18.30
S50H19,SH-00506,S,2,1078.00,0.00,34.20,2.39,0.00,36.59
S50H19,SH-00507,S,1,1078.00,0.00,17.10,1.20,0.00,18.30
S50H19,SH-00508,S,1,1086.00,0.00,17.10,1.20,0.00,18.30
S50H19,SH-00509,S,4,1086.00,0.00,68.40,4.79,0.00,73.19
S50H19,SH-00510,S,2,1086.00,0.00,34.20,2.39,0.00,36.59
S50H19,SH-00511,S,13,1086.00,0.00,222.30,15.56,0.00,237.86
S50H19,SH-00512,S,4,1086.00,0.00,68.40,4.79,0.00,73.19
S50H19,SH-00513,S,16,1086.00,0.00,273.60,19.14,0.00,292.74
S50H19C1075,SH-00514,S,1,16.00,3200.00,35.10,2.46,0.00,37.56
S50H19C1075,SH-00515,S,4,16.00,12800.00,140.40,9.83,0.00,150.23  13032019
S50H19,BH-00383,B,24,1089.20,0.00,410.40,28.73,0.00,439.13
