Series,Contract No.,BuySell,Contract,Price,Premium Amount,Brokerage Fee,VAT,WH,Charge Amount   Date   
S50Z18,BU-00845,B,2,1052.50,0.00,34.20,2.39,0.00,36.59
S50Z18,SE-00846,S,6,1072.00,0.00,102.60,7.18,0.00,109.78
S50Z18,SH-00847,S,5,1072.00,0.00,85.50,5.99,0.00,91.49
S50Z18,SH-00848,S,5,1078.00,0.00,85.50,5.99,0.00,91.49
S50Z18C1100,SH-00849,S,5,21.50,21500.00,175.50,12.29,0.00,187.79  25102018
S50Z18,BH-00496,B,2,1073.90,0.00,34.20,2.39,0.00,36.59
S50Z18,BH-00497,B,1,1073.90,0.00,17.10,1.20,0.00,18.30
S50Z18,BH-00498,B,1,1073.90,0.00,17.10,1.20,0.00,18.30
S50Z18,BH-00499,B,1,1073.90,0.00,17.10,1.20,0.00,18.30
S50Z18,BH-00500,B,5,1074.00,0.00,85.50,5.99,0.00,91.49
S50Z18,BU-00501,B,10,1071.50,0.00,171.00,11.97,0.00,182.97
S50Z18,BU-00502,B,10,1069.00,0.00,171.00,11.97,0.00,182.97
S50Z18,SE-00503,S,1,1070.00,0.00,17.10,1.20,0.00,18.30
S50Z18,SE-00504,S,1,1070.00,0.00,17.10,1.20,0.00,18.30
S50Z18,SE-00505,S,1,1070.00,0.00,17.10,1.20,0.00,18.30
S50Z18,SE-00506,S,1,1070.00,0.00,17.10,1.20,0.00,18.30
S50Z18,SE-00507,S,1,1070.00,0.00,17.10,1.20,0.00,18.30
S50Z18,SE-00508,S,1,1070.00,0.00,17.10,1.20,0.00,18.30
S50Z18,SE-00509,S,9,1070.00,0.00,153.90,10.77,0.00,164.67
S50Z18,BU-00510,B,5,1064.00,0.00,85.50,5.96,0.00,91.46   26102018
S50Z18,SE-00354,S,5,1073.00,0.00,85.50,5.99,0.00,91.49
S50Z18,SE-00355,S,2,1080.30,0.00,34.20,2.39,0.00,36.59
S50Z18,SE-00356,S,3,1080.20,0.00,51.30,3.59,0.00,54.89   29102018
