Series	Contract No.	BuySell	Contract	Price	Premium Amount	Brokerage Fee	VAT	WH	Charge Amount   Date   
S50Z18	SH-00413	S	1	1,112.00	0.00	17.10	1.19	0.00	18.29   06112018
S50Z18	BH-02975	B	20	1,107.70	0.00	342.00	23.94	0.00	365.94
S50Z18	BH-02976	B	13	1,107.50	0.00	222.30	15.56	0.00	237.86
S50Z18	SH-02977	S	2	1,111.00	0.00	34.20	2.39	0.00	36.59
S50Z18	SH-02978	S	3	1,112.00	0.00	51.30	3.59	0.00	54.89
S50Z18	SH-02979	S	5	1,112.50	0.00	85.50	5.99	0.00	91.49
S50Z18	SH-02980	S	5	1,114.00	0.00	85.50	5.99	0.00	91.49
S50Z18P1000	BU-02981	B	6	3.00	-3,600.00	210.60	14.74	0.00	225.34
S50Z18P1000	BU-02982	B	4	3.00	-2,400.00	140.40	9.83	0.00	150.23
S50Z18P1000	BU-02983	B	10	2.80	-5,600.00	351.00	24.57	0.00	375.57
S50Z18P1000	BU-02984	B	9	2.60	-4,680.00	315.90	22.11	0.00	338.01  07112018
S50Z18	BH-00376	B	1	1,105.90	0.00	17.10	1.20	0.00	18.30
S50Z18	BH-00377	B	1	1,105.90	0.00	17.10	1.20	0.00	18.30
S50Z18	BH-00378	B	4	1,105.90	0.00	68.40	4.79	0.00	73.19
S50Z18	BH-00379	B	1	1,105.90	0.00	17.10	1.20	0.00	18.30
S50Z18	BH-00380	B	2	1,105.90	0.00	34.20	2.39	0.00	36.59
S50Z18	BH-00381	B	1	1,106.00	0.00	17.10	1.20	0.00	18.30
S50Z18	SH-00382	S	20	1,106.00	0.00	342.00	23.94	0.00	365.94
S50Z18	BH-00383	B	8	1,105.50	0.00	136.80	9.58	0.00	146.38
S50Z18	BH-00384	B	1	1,105.50	0.00	17.10	1.20	0.00	18.30
S50Z18	BH-00385	B	1	1,105.50	0.00	17.10	1.20	0.00	18.30
S50Z18	BH-00386	B	5	1,105.50	0.00	85.50	5.99	0.00	91.49
S50Z18	BH-00387	B	1	1,105.50	0.00	17.10	1.20	0.00	18.30
S50Z18	BH-00388	B	4	1,105.50	0.00	68.40	4.76	0.00	73.16
S50Z18C1100	SH-00389	S	1	25.00	5,000.00	35.10	2.46	0.00	37.56
S50Z18C1100	SH-00390	S	4	25.00	20,000.00	140.40	9.83	0.00	150.23
S50Z18C1100	SH-00391	S	5	25.00	25,000.00	175.50	12.29	0.00	187.79
S50Z18P1075	BH-00392	B	5	15.10	-15,100.00	175.50	12.29	0.00	187.79
S50Z18P1125	BH-00393	B	4	40.00	-32,000.00	140.40	9.83	0.00	150.23
S50Z18P1125	BH-00394	B	1	40.00	-8,000.00	35.10	2.43	0.00	37.53   12112018
S50Z18	SH-00481	S	5	1,094.00	0.00	85.50	5.99	0.00	91.49
S50Z18	SH-00482	S	5	1,096.00	0.00	85.50	5.99	0.00	91.49
S50Z18	BH-00483	B	10	1,094.00	0.00	171.00	11.97	0.00	182.97
S50Z18	SH-00484	S	5	1,097.00	0.00	85.50	5.99	0.00	91.49
S50Z18	BH-00485	B	5	1,094.00	0.00	85.50	5.99	0.00	91.49
S50Z18	SH-00486	S	5	1,096.20	0.00	85.50	5.99	0.00	91.49
S50Z18	BH-00487	B	3	1,095.60	0.00	51.30	3.59	0.00	54.89
S50Z18	BH-00488	B	2	1,095.60	0.00	34.20	2.39	0.00	36.59
S50Z18	SH-00489	S	1	1,100.50	0.00	17.10	1.20	0.00	18.30
S50Z18	SH-00490	S	4	1,100.50	0.00	68.40	4.79	0.00	73.19
S50Z18	SH-00491	S	5	1,105.00	0.00	85.50	5.99	0.00	91.49
S50Z18	BH-00492	B	5	1,097.60	0.00	85.50	5.99	0.00	91.49
S50Z18	BH-00493	B	5	1,097.50	0.00	85.50	5.95	0.00	91.45   13112018
S50Z18	SH-00495	S	5	1,097.50	0.00	85.50	5.99	0.00	91.49   14112018
S50Z18	BH-00558	B	2	1,099.70	0.00	34.20	2.39	0.00	36.59
S50Z18	BH-00559	B	2	1,100.00	0.00	34.20	2.39	0.00	36.59
S50Z18	BH-00560	B	1	1,100.00	0.00	17.10	1.20	0.00	18.30
S50Z18	BH-00561	B	1	1,100.00	0.00	17.10	1.20	0.00	18.30
S50Z18	BH-00562	B	1	1,100.00	0.00	17.10	1.20	0.00	18.30
S50Z18	BH-00563	B	3	1,100.00	0.00	51.30	3.59	0.00	54.89
S50Z18	BU-00564	B	5	1,096.00	0.00	85.50	5.99	0.00	91.49
S50Z18	SE-00565	S	5	1,096.50	0.00	85.50	5.99	0.00	91.49
S50Z18	SH-00566	S	6	1,095.60	0.00	102.60	7.18	0.00	109.78
S50Z18	SH-00567	S	1	1,095.60	0.00	17.10	1.20	0.00	18.30
S50Z18	SH-00568	S	3	1,095.60	0.00	51.30	3.59	0.00	54.89
S50Z18	BH-00569	B	5	1,084.80	0.00	85.50	5.98	0.00	91.48
S50Z18C1100	BH-00570	B	4	21.00	-16,800.00	140.40	9.83	0.00	150.23
S50Z18C1100	BH-00571	B	1	21.00	-4,200.00	35.10	2.46	0.00	37.56   15112018
S50Z18	BH-00483	B	2	1,089.50	0.00	34.20	2.39	0.00	36.59
S50Z18	BH-00484	B	3	1,089.50	0.00	51.30	3.60	0.00	54.90
S50Z18C1050	BH-00485	B	5	47.00	-47,000.00	175.50	12.29	0.00	187.79
S50Z18C1125	SE-00486	S	1	9.70	1,940.00	35.10	2.45	0.00	37.55   16112018
S50Z18	SH-00381	S	4	1,086.60	0.00	68.40	4.79	0.00	73.19
S50Z18	SH-00382	S	8	1,086.60	0.00	136.80	9.58	0.00	146.38
S50Z18	SH-00383	S	5	1,086.60	0.00	85.50	5.99	0.00	91.49
S50Z18	SH-00384	S	3	1,086.60	0.00	51.30	3.59	0.00	54.89
S50Z18	BH-00385	B	20	1,086.80	0.00	342.00	23.94	0.00	365.94
S50Z18	BU-00386	B	5	1,087.00	0.00	85.50	5.98	0.00	91.48
S50Z18C1050	BU-00387	B	10	48.80	-97,600.00	351.00	24.57	0.00	375.57
S50Z18C1125	SE-00388	S	1	9.80	1,960.00	35.10	2.46	0.00	37.56
S50Z18C1125	SE-00389	S	1	10.00	2,000.00	35.10	2.46	0.00	37.56
S50Z18P1000	SE-00390	S	8	2.50	4,000.00	280.80	19.66	0.00	300.46
S50Z18P1000	SE-00391	S	10	2.50	5,000.00	351.00	24.57	0.00	375.57
S50Z18P1025	SH-00392	S	10	4.80	9,600.00	351.00	24.57	0.00	375.57
S50Z18P1050	SH-00393	S	2	9.00	3,600.00	70.20	4.91	0.00	75.11
S50Z18P1050	SH-00394	S	1	9.00	1,800.00	35.10	2.46	0.00	37.56
S50Z18P1050	SH-00395	S	5	9.00	9,000.00	175.50	12.29	0.00	187.79
S50Z18P1050	BU-00396	B	10	8.80	-17,600.00	351.00	24.57	0.00	375.57
S50Z18P1075	BU-00397	B	2	17.00	-6,800.00	70.20	4.91	0.00	75.11
S50Z18P1075	BU-00398	B	1	17.00	-3,400.00	35.10	2.46	0.00	37.56
S50Z18P1075	BU-00399	B	1	17.00	-3,400.00	35.10	2.46	0.00	37.56
S50Z18P1075	BU-00400	B	4	17.00	-13,600.00	140.40	9.83	0.00	150.23
S50Z18P1075	BU-00401	B	10	17.00	-34,000.00	351.00	24.57	0.00	375.57
S50Z18P1075	BU-00402	B	2	17.00	-6,800.00	70.20	4.90	0.00	75.10   19112018
S50Z18	SH-00548	S	14	1,082.20	0.00	239.40	16.76	0.00	256.16
S50Z18	SH-00549	S	1	1,082.20	0.00	17.10	1.20	0.00	18.30
S50Z18	SH-00550	S	5	1,082.20	0.00	85.50	5.99	0.00	91.49
S50Z18	SH-00551	S	1	1,082.40	0.00	17.10	1.20	0.00	18.30
S50Z18	SH-00552	S	2	1,082.40	0.00	34.20	2.39	0.00	36.59
S50Z18	SH-00553	S	2	1,082.40	0.00	34.20	2.39	0.00	36.59
S50Z18	BH-00554	B	1	1,079.70	0.00	17.10	1.20	0.00	18.30
S50Z18	BH-00555	B	1	1,079.70	0.00	17.10	1.20	0.00	18.30
S50Z18	BH-00556	B	3	1,079.70	0.00	51.30	3.59	0.00	54.89
S50Z18	BH-00557	B	5	1,080.30	0.00	85.50	5.99	0.00	91.49
S50Z18	BH-00558	B	1	1,078.90	0.00	17.10	1.20	0.00	18.30
S50Z18	BH-00559	B	4	1,078.90	0.00	68.40	4.79	0.00	73.19
S50Z18	BH-00560	B	5	1,073.50	0.00	85.50	5.97	0.00	91.47   20112018
S50Z18	BU-00770	B	5	1,068.90	0.00	85.50	5.99	0.00	91.49
S50Z18	SE-00771	S	5	1,070.10	0.00	85.50	5.99	0.00	91.49
S50Z18	BU-00772	B	9	1,070.20	0.00	153.90	10.77	0.00	164.67
S50Z18	BU-00773	B	1	1,070.20	0.00	17.10	1.20	0.00	18.30
S50Z18	BU-00774	B	1	1,070.20	0.00	17.10	1.20	0.00	18.30
S50Z18	BU-00775	B	4	1,070.20	0.00	68.40	4.79	0.00	73.19
S50Z18	BU-00776	B	1	1,070.20	0.00	17.10	1.20	0.00	18.30
S50Z18	BU-00777	B	1	1,070.20	0.00	17.10	1.20	0.00	18.30
S50Z18	BU-00778	B	3	1,070.20	0.00	51.30	3.59	0.00	54.89
S50Z18	SE-00779	S	1	1,069.20	0.00	17.10	1.20	0.00	18.30
S50Z18	SE-00780	S	10	1,069.20	0.00	171.00	11.97	0.00	182.97
S50Z18	SE-00781	S	1	1,069.20	0.00	17.10	1.20	0.00	18.30
S50Z18	SE-00782	S	2	1,069.20	0.00	34.20	2.39	0.00	36.59
S50Z18	SE-00783	S	1	1,069.20	0.00	17.10	1.20	0.00	18.30
S50Z18	SE-00784	S	1	1,069.20	0.00	17.10	1.20	0.00	18.30
S50Z18	SE-00785	S	1	1,069.20	0.00	17.10	1.20	0.00	18.30
S50Z18	SE-00786	S	3	1,069.20	0.00	51.30	3.59	0.00	54.89
S50Z18	SH-00787	S	20	1,073.00	0.00	342.00	23.94	0.00	365.94
S50Z18	BH-00788	B	10	1,072.40	0.00	171.00	11.97	0.00	182.97
S50Z18	BH-00789	B	5	1,072.40	0.00	85.50	5.99	0.00	91.49
S50Z18	BH-00790	B	5	1,072.40	0.00	85.50	5.99	0.00	91.49
S50Z18	SH-00791	S	5	1,076.50	0.00	85.50	5.99	0.00	91.49
S50Z18	SH-00792	S	5	1,079.50	0.00	85.50	5.99	0.00	91.49
S50Z18	BH-00793	B	1	1,077.70	0.00	17.10	1.20	0.00	18.30
S50Z18	BH-00794	B	1	1,077.70	0.00	17.10	1.20	0.00	18.30
S50Z18	BH-00795	B	2	1,077.70	0.00	34.20	2.39	0.00	36.59
S50Z18	BH-00796	B	1	1,077.70	0.00	17.10	1.15	0.00	18.25
S50Z18C1050	BH-00797	B	1	34.10	-6,820.00	35.10	2.46	0.00	37.56
S50Z18C1100	BH-00798	B	4	11.50	-9,200.00	140.40	9.83	0.00	150.23
S50Z18C1100	BH-00799	B	6	11.50	-13,800.00	210.60	14.74	0.00	225.34
S50Z18C1150	SH-00800	S	1	4.30	860.00	35.10	2.46	0.00	37.56
S50Z18C1150	SH-00801	S	1	4.30	860.00	35.10	2.46	0.00	37.56
S50Z18C1150	SH-00802	S	3	4.30	2,580.00	105.30	7.36	0.00	112.66  21112018
S50Z18	BH-00499	B	1	1,075.90	0.00	17.10	1.20	0.00	18.30
S50Z18	BH-00500	B	1	1,075.90	0.00	17.10	1.20	0.00	18.30
S50Z18	BH-00501	B	2	1,075.90	0.00	34.20	2.39	0.00	36.59
S50Z18	BH-00502	B	1	1,075.90	0.00	17.10	1.20	0.00	18.30
S50Z18	BU-00503	B	5	1,069.80	0.00	85.50	5.98	0.00	91.48
S50Z18C1050	BH-00504	B	4	37.50	-30,000.00	140.40	9.83	0.00	150.23
S50Z18C1075	BH-00505	B	5	21.20	-21,200.00	175.50	12.29	0.00	187.79
S50Z18C1100	BU-00506	B	2	9.60	-3,840.00	70.20	4.91	0.00	75.11
S50Z18C1100	BU-00507	B	8	9.60	-15,360.00	280.80	19.66	0.00	300.46
S50Z18C1100	BU-00508	B	7	9.50	-13,300.00	245.70	17.20	0.00	262.90
S50Z18C1100	BU-00509	B	1	9.50	-1,900.00	35.10	2.46	0.00	37.56
S50Z18C1100	BU-00510	B	1	9.50	-1,900.00	35.10	2.46	0.00	37.56
S50Z18C1100	BU-00511	B	1	9.50	-1,900.00	35.10	2.46	0.00	37.56
S50Z18C1100	BU-00512	B	4	9.00	-7,200.00	140.40	9.83	0.00	150.23
S50Z18C1100	BU-00513	B	1	9.00	-1,800.00	35.10	2.46	0.00	37.56
S50Z18C1125	SH-00514	S	2	6.70	2,680.00	70.20	4.91	0.00	75.11
S50Z18C1125	SH-00515	S	2	6.70	2,680.00	70.20	4.91	0.00	75.11
S50Z18C1125	SH-00516	S	1	6.70	1,340.00	35.10	2.46	0.00	37.56
S50Z18C1125	SE-00517	S	4	6.90	5,520.00	140.40	9.83	0.00	150.23
S50Z18C1125	SH-00518	S	4	5.60	4,480.00	140.40	9.83	0.00	150.23
S50Z18C1125	SH-00519	S	2	5.60	2,240.00	70.20	4.91	0.00	75.11
S50Z18C1125	SH-00520	S	4	5.60	4,480.00	140.40	9.83	0.00	150.23
S50Z18C1125	SH-00521	S	12	5.30	12,720.00	421.20	29.48	0.00	450.68
S50Z18C1125	SH-00522	S	6	5.30	6,360.00	210.60	14.74	0.00	225.34
S50Z18P1025	BH-00523	B	1	7.00	-1,400.00	35.10	2.46	0.00	37.56
S50Z18P1025	BH-00524	B	4	7.00	-5,600.00	140.40	9.83	0.00	150.23
S50Z18P1050	SE-00525	S	2	10.90	4,360.00	70.20	4.91	0.00	75.11
S50Z18P1075	SE-00526	S	5	19.10	19,100.00	175.50	12.29	0.00	187.79
S50Z18P1075	SE-00527	S	5	20.00	20,000.00	175.50	12.29	0.00	187.79
S50Z18P1075	SE-00528	S	2	26.50	10,600.00	70.20	4.91	0.00	75.11
S50Z18P1075	SE-00529	S	3	26.50	15,900.00	105.30	7.35	0.00	112.65  222112018
S50Z18	SE-00270	S	5	1,083.00	0.00	85.50	5.99	0.00	91.49
S50Z18	BU-00271	B	10	1,083.70	0.00	171.00	11.97	0.00	182.97
