Stock  Contract-No Side    Unit    Price    Premium Brokerage   VAT Withhold    Charge-Amount,
S50H20P1050 BU-20191219-01581 L Open 1 23.00 -4600.00 6.10 0.43 0.18 -4606.35
S50H20 BU-20191218-01266 L Open 1 1058.80 0.00 8.10 0.57 0.24 -8.43 
S50H20 BU-20191218-01267 L Open 1 1058.80 0.00 8.10 0.57 0.24 -8.43 
S50H20 BU-20191218-01268 L Open 1 1058.80 0.00 8.10 0.56 0.24 -8.42 
S50H20C1100 BU-20191218-01269 L Open 5 8.70 -8700.00 30.50 2.14 0.92 -8731.72
